key,korean,english,context,files
kr_39d36c74_kr_2ddb347e,요약 보고서,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_3b68570c_50mb_kr_277eb50c_pdf_office__8cbfa2ae,"최대 50MB • 이미지, PDF, Office 문서, 텍스트 파일 지원",,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_3b68570c_5kr_3ecf4607_kr_7f2f18a3_kr__5b25d067,최대 5분까지 소요될 수 있습니다. (,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_3ce81313,확인,,JSX text content in components/PrivacyTermsModal.tsx,components/PrivacyTermsModal.tsx; pages/customer/CustomerChat.tsx
kr_3dbc5961_ai_kr_a5b9ef21_kr_82e5f386_k_cd76bbb6,"위의 ""AI 분석 시작"" 버튼을 클릭하여 대화 내용을 분석해보세요.",,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx
kr_420e118c,에서,,Template literal span in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_423c414d,새로고침,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; pages/admin/AgentsDashboard.tsx
kr_46cfe343_aws_kr_ca0ac833_kr_abe6053f__a22600e5,추천 AWS 서비스가 생성되지 않았습니다.,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_46cfe343_aws_kr_d8ab5eae,추천 AWS 서비스,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_46cfe343_kr_0aae6d89,추천 이유,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_475cb533_kr_a730e137,미팅 로그,,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx; pages/admin/AdminSessionDetails.tsx
kr_475cb533_kr_b25e5112_kr_9e61316a_kr_ba94b3b1,미팅 로그가 성공적으로 저장되었습니다.,,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_475cb533_kr_b25e5112_kr_a1e3984d,미팅 로그가 없습니다,,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_475cb533_kr_c316c93b_kr_f084222a_kr_0_59286aa3,"미팅 로그를 저장한 후 ""재분석"" 버튼을 클릭하면, 사전상담 대화 내용과 미팅 로그를 모두 고려하여 AI가 좌측의 분석 결과를 업데이트합니다.",,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_475cb533_kr_d7255745_kr_01ad7836_kr_e_9a58bec1,"미팅 내용을 자유롭게 작성해주세요. 마크다운 형식을 사용할 수 있습니다.

예시:
## 미팅 개요
- 일시: 2024-01-15 14:00
- 참석자: 홍길동 (고객), 김영희 (AWS)

## 주요 논의사항
1. 클라우드 마이그레이션 계획
2. 예상 비용 및 일정
3. 기술적 요구사항

## 액션 아이템
- [ ] POC 제안서 작성
- [ ] 기술 검토 미팅 일정 조율",,JSX attribute: placeholder in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_47bea48c,예시:,,JSX text content in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_4a2b571b_kr_8b24fca6,피드백 있음,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_4a2b571b_kr_a245e6fe,피드백 없음,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_4a2b571b_kr_d6ed72d2_kr_3f23fd87,피드백 제출 시간,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_4aa3fb37_kr_08aaba6e_kr_0c0be239_kr_1_6e75ac42,"""재분석"" 버튼을 클릭하여 대화 내용과 미팅 로그를 함께 분석해보세요.",,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_4e085c22_kr_132f1ad6_kr_1bf5787a,: 비즈니스 요구사항 제공,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_4f8e308f,% 완료),,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_5330910c_prechat_agent_kr_11a5c5a4_kr_0431fb1a,새로운 PreChat Agent 를 등록합니다 🤖,,JSX text content in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx
kr_55810ef5,연락처:,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_5a601c73_kr_c17c4cc3_kr_3e70aca6,신규 도입 문의,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_5cf42c34_kr_4b0a9168_kr_802833b3_kr_3ce81313,: 기술적 제약사항과 선호사항을 확인,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_60c79769_kr_ebe4aa7e,세션 추가,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; pages/admin/CreateSession.tsx
kr_612ca27b,다운로드,,JSX text content in components/FileList.tsx,components/FileList.tsx
kr_636441b6_kr_07afbbb1,에이전트 준비,,String literal in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
kr_636441b6_kr_4169bb4f,에이전트 생성,,JSX text content in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx; pages/admin/CreateAgent.tsx; pages/admin/CreateSession.tsx
kr_636441b6_kr_6eb5cd03,에이전트 이름,,JSX attribute: label in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
kr_636441b6_kr_ad756095,에이전트 수정,,JSX text content in pages/admin/EditAgent.tsx,pages/admin/EditAgent.tsx
kr_636441b6_kr_b809fc99_kr_014f33ea_kr_c_a2974c58,"에이전트 지침에서 사용할 수 있는 플레이스홀더들입니다. 
              고객과의 채팅에서 실제 값으로 자동 치환됩니다.",,JSX text content in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_636441b6_kr_c76d86e1,에이전트 제거,,String literal in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
kr_636441b6_kr_ec0d787e,에이전트 편집,,String literal in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
kr_64e330b0_kr_9c6ba43f,마이그레이션 상담,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_690a7151_kr_7d16267d_kr_7e0c8f1b_kr_c_dafee129,더 정확한 상담을 위해 추가 자료를 제공해 주시면 도움이 됩니다.,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_6b0ba4c4_kr_868ed86d_kr_49f6a567,성능/용량 계획서,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_6bc2253e,미팅로그리포트_,,Template literal head in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_6d9351cf_kr_d160f681,첨부 파일,,String literal in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_6f3ac528_kr_015871f3_kr_57970093_kr_4_b32553c0,이 댓글을 삭제하시겠습니까? 삭제된 댓글은 복구할 수 없습니다.,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx
kr_6f3ac528_kr_1b0c71b6_kr_d70054a5_kr_4_bcfd38f9,)이 대화 내용과 미팅 로그를 함께 분석하고 있습니다...,,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_6f3ac528_kr_1b0c71b6_kr_d7255745_kr_e_23df3b00,)이 대화 내용을 분석하고 있습니다...,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx
kr_6f91c5e2_kr_fa51e375_kr_f30e8f67_kr_5_8cbafb60,고객이 아직 피드백을 제출하지 않았습니다.,,String literal in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_719de9e6_kr_1176baf6,만족도 점수,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_7f598db0_kr_3e70aca6,기타 문의,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_81d78354_kr_636441b6_kr_7d9a37bb,기본 에이전트 지침,,JSX text content in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
kr_8a0dfb9c,관련성,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_8ffc4a43_kr_8ffba872,선택된 모델(,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_8ffc4a43_kr_9c6ba43f_kr_0a8c9145,선택된 상담 목적,,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_908eb9b7_kr_4169bb4f,랜덤 생성,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
kr_95e4313c_kr_62399661_kr_073a6047_kr_290ce543,일). 에이전트를 다시 준비해주세요.,,Template literal span in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
kr_9825fbb6_kr_1edd9142_kr_e171e29b,관련 고객 사례,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_9825fbb6_kr_1edd9142_kr_f737cd71_kr_a_e0bb057d,관련 고객 사례가 생성되지 않았습니다.,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_99b6a0bc_kr_a5131cf6_csv,진입 정보 CSV,,String literal in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
kr_9ab19a87,로그아웃,,String literal in components/TopNavigation.tsx,components/TopNavigation.tsx
kr_9c6ba43f_kr_0a8c9145,상담 목적,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx; pages/customer/CustomerChat.tsx
kr_9c6ba43f_kr_35beedfc_kr_1704c9a9_kr_fb451447,상담 목적을 선택해 주세요,,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_9d0a47e6,저장,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx; components/MeetingLogView.tsx
kr_9d97f58d_kr_247d243a_kr_69318f6a_kr_a_f43bcd49,초도미팅록 작성 (마크다운 형식 지원),,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_9f488784_kr_1bf5787a,첨부파일 제공,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_9fe747f6_kr_34b739b1,구현 방안,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_9ff7e209,담당자:,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_9ff7e209_kr_55810ef5,담당자 연락처,,String literal in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_9ff7e209_kr_6eb5cd03,담당자 이름,,String literal in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_9ff7e209_kr_a5131cf6,담당자 정보,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_9ff7e209_kr_af9b1ee2,담당자 이메일,,String literal in components/PlaceholderTooltip.tsx,components/PlaceholderTooltip.tsx
kr_a0b2c43c_kr_0fe9cf9d_kr_0a4a6ef7_kr_f941f867,: 예상 트래픽과 데이터량 등,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_a0e0ede8_kr_7db3efd9_kr_a1e3984d,업로드된 파일이 없습니다,,JSX text content in components/FileList.tsx,components/FileList.tsx; components/FileUpload.tsx
kr_a0e0ede8_kr_d160f681,업로드된 파일,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx; components/SessionAttachments.tsx
kr_a0e0ede8_kr_fd336418_aws_kr_1bf59557__5d79d8f6,💡 업로드된 파일은 AWS 담당자가 사전 검토하여 더욱 효과적인 미팅을 준비할 수 있습니다.,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_a19ec6f5_kr_cb5195f6_kr_27465537_kr_b_2a608448,💡 여러 줄 입력이 가능합니다. 전송하려면 아래 전송 버튼을 눌러주세요.,,JSX text content in components/MultilineChatInput.tsx,components/MultilineChatInput.tsx
kr_a45c31b2_kr_2000c418,업로드 중...,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_a549476c_kr_65815681_kr_78d52400_kr_9_2fb47fac,위 항목에 해당하지 않는 기타 문의사항이 있으신가요?,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_a5b9ef21_kr_2d420e49_kr_53b5d1ae_kr_2000c418,분석 결과를 불러오는 중...,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx
kr_a5b9ef21_kr_4f8e308f,분석 완료:,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_a5b9ef21_kr_7d4f0769_kr_a1e3984d,분석 결과가 없습니다,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_a5b9ef21_kr_8ffba872_kr_3828fa8c,분석 모델 선택,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_a6901e00_kr_f4451824_kr_773d2969_kr_4_002acf23,어카운트 전략에 대한 의견을 작성해주세요...,,JSX attribute: placeholder in components/DiscussionTab.tsx,components/DiscussionTab.tsx
kr_ad756095,수정,,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx; components/MeetingLogView.tsx
kr_ad756095_kr_08aaba6e_kr_0c0be239_kr_5_50ea4ba0,"""수정"" 버튼을 클릭하여 초도미팅록을 작성해보세요.",,JSX text content in components/MeetingLogView.tsx,components/MeetingLogView.tsx
kr_af9b1ee2,이메일:,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_b685c0b6,상담목적:,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
kr_bbcea42e,대시보드로,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx; pages/admin/CreateAgent.tsx; pages/admin/CreateSession.tsx; pages/admin/EditAgent.tsx
kr_bce2f2db_kr_277eb50c,원본 이미지,,JSX attribute: alt in components/ImageGallery.tsx,components/ImageGallery.tsx
kr_d160f681_kr_07afbbb1,파일 준비,,JSX text content in components/FileList.tsx,components/FileList.tsx
kr_d160f681_kr_3828fa8c,파일 선택,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_d160f681_kr_a45c31b2_kr_2000c418_kr_c_719b2f3c,파일 업로드 중 오류가 발생했습니다. (Status:,,Template literal head in components/FileUpload.tsx,components/FileUpload.tsx
kr_d160f681_kr_bf4c2fc1_kr_e85b48fe_kr_0aae6d89,파일 업로드가 필요한 이유,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_d2dc9ed4_kr_141851f3_kr_953e9e96_kr_e_3d28a7fc,파일을 업로드하여 상담에 필요한 자료를 제공해 주세요.,,JSX text content in components/FileList.tsx,components/FileList.tsx; components/FileUpload.tsx
kr_d366f9f8_kr_67e25f3e_kr_b7a481c0,"이라 합니다. 

이번에",,Template literal span in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_d4d56740_kr_4a2b571b,사전상담 피드백,,JSX text content in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_d4d56740_kr_bee8046c_kr_272063c6_kr_b_214bbac5,사전상담 경험은 어떠셨나요? 소중한 피드백을 남겨주세요.,,JSX text content in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_d4d56740_kr_d7255745_kr_740edcea,사전상담 내용을 확인합니다,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
kr_d4d56740_kr_f8f407d6_kr_1176baf6,사전상담 경험 점수,,JSX attribute: label in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_d4f71fac,프로필,,String literal in components/TopNavigation.tsx,components/TopNavigation.tsx
kr_d80da8e9_kr_0411fb92_kr_247d243a,새 댓글 작성,,JSX attribute: label in components/DiscussionTab.tsx,components/DiscussionTab.tsx
kr_d80da8e9_kr_9c6ba43f_kr_8fb6dfad_kr_deec1534,새 상담 세션을 만듭니다 💬,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
kr_d8ab5eae_kr_2aa88b28,서비스 이용약관,,String literal in components/PrivacyTermsModal.tsx,components/PrivacyTermsModal.tsx
kr_d9de218e,취소,,JSX text content in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx; components/DiscussionTab.tsx; components/MeetingLogView.tsx; pages/admin/AgentsDashboard.tsx; pages/admin/CreateAgent.tsx; pages/admin/CreateSession.tsx; pages/admin/EditAgent.tsx
kr_de7dab89_kr_08725e96_kr_636441b6,사용 가능한 에이전트 🤖,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
kr_de7dab89_kr_8ffba872,"| 
            사용 모델:",,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_e171e29b_kr_4c70f722,사례 설명,,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
kr_e7755cd5_kr_1f98d72a_kr_ae865576,현재 아키텍처 다이어그램,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_e7755cd5_kr_de7dab89_kr_b0c7349a_aws__67cd9d83,현재 사용 중인 AWS 서비스의 기술적 이슈나 개선 방안을 문의하시나요?,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_e9d2a1c3_kr_504b1e35_awskr_34310a68_k_acc690a4,기존 시스템을 AWS로 이전하는 방안을 논의하고 싶으신가요?,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_e9d2a1c3_kr_b0cc8942_kr_c111a6ea_kr_a_8bb6b000,: 기존 시스템 구성 정보 제공,,JSX text content in components/FileUpload.tsx,components/FileUpload.tsx
kr_ebe4aa7e_kr_4a2b571b_kr_2c3cae1a,추가 피드백 (선택사항),,JSX attribute: label in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_ebe4aa7e_kr_985a3b06_kr_afe7d8b8_kr_a_780fce17,추가 문의사항이 있으시면 위 담당자에게 직접 연락해 주세요.,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_f06f9fdb_kr_9825fbb6_kr_3e70aca6,파트너 관련 문의,,String literal in components/ConsultationPurposeSelector.tsx,components/ConsultationPurposeSelector.tsx
kr_f215119c_kr_393a17ce_kr_b63c09c8,에 동의합니다. (필수),,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_f235c8d9,전송,,JSX text content in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_f28d7087_kr_64567785_kr_a5131cf6,고객에게 전달할 정보:,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
kr_f30e8f67_kr_932d8b11,피드백을 입력해주세요...,,JSX attribute: placeholder in components/FeedbackModal.tsx,components/FeedbackModal.tsx
kr_f41e9a69_kr_78d044a7,)에게 확인하세요,,Template literal span in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
kr_f44049fc_kr_60c065cb_kr_6f2418fa_6kr__1d616698,영업 담당자로부터 받은 6자리 PIN 번호를 입력해주세요.,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
kr_fa51e375_kr_af4549bb_kr_fec5ad53_kr_a_8b077219,아직 작성된 댓글이 없습니다. 첫 번째 댓글을 작성해보세요!,,JSX text content in components/DiscussionTab.tsx,components/DiscussionTab.tsx
kr_faa33ae2_url,채팅 URL:,,JSX text content in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
kr_fbaf9f99,미동의,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
loading_agent_details,Loading agent details...,,JSX text content in pages/admin/EditAgent.tsx,pages/admin/EditAgent.tsx
loading_current_user,Loading current user...,,String literal in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
meeting_log,/meeting-log,,Template literal span in services/api.ts,services/api.ts
memory_kr_bf64ca02_kr_2392e4d4,Memory 활성화에 실패했습니다.,,String literal in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
memory_kr_da1f5a04,Memory 활성화,,String literal in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
memory_storage_days,Memory Storage Days,,JSX attribute: label in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx; pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
memorykr_c0c6e706_kr_9e61316a_kr_4c9375fa,Memory가 성공적으로 활성화되었습니다 (,,Template literal head in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
message_copied,Message copied,,JSX text content in components/ChatMessage.tsx,components/ChatMessage.tsx; components/StreamingChatMessage.tsx
missing_required_columns,: missing required columns,,Template literal span in i18n/TranslationManager.ts,i18n/TranslationManager.ts
mit_0_license,MIT-0 License,,JSX text content in components/Layout.tsx,components/Layout.tsx
need_kr_1c58866c,Need (필요성),,JSX text content in components/AIAnalysisReport.tsx,components/AIAnalysisReport.tsx; components/MeetingLogView.tsx
next_steps_will_be_shared_via_email_with_18b2be76,✅ Next steps will be shared via email within 24 hours.,,Template literal span in hooks/useChat.ts,hooks/useChat.ts
no_agents,No agents,,JSX text content in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx; pages/admin/CreateSession.tsx
no_bedrock_agents_found,No Bedrock agents found.,,JSX text content in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx; pages/admin/CreateSession.tsx
no_messages_yet,No messages yet,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
no_pre_consultation_sessions_found,No pre-consultation sessions found.,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
no_sessions,No sessions,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
not_helpful,Not helpful,,String literal in components/ChatMessage.tsx,components/ChatMessage.tsx; components/StreamingChatMessage.tsx
not_prepared,Not Prepared,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AgentsDashboard.tsx
password,Password,,JSX attribute: label in pages/auth/Login.tsx,pages/auth/Login.tsx
phone_number,Phone Number,,JSX attribute: label in pages/auth/Login.tsx,pages/auth/Login.tsx
pin,| PIN:,,Template literal span in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
pin_kr_5ca2f73d,PIN 번호,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx; pages/admin/CreateSession.tsx; pages/customer/CustomerChat.tsx
pin_kr_ce42b977_kr_f44049fc_kr_1c1c685c,PIN 정보는 영업 담당(,,Template literal head in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx
please_check_your_email_and_enter_the_co_346890e1,Please check your email and enter the confirmation code below.,,JSX text content in pages/auth/Login.tsx,pages/auth/Login.tsx
prechat_kr_60c79769,PreChat 세션 💬,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; pages/admin/AgentsDashboard.tsx
prechat_kr_62399661_kr_28230b3a,PreChat 에이전트를 수정합니다 🤖,,JSX text content in pages/admin/EditAgent.tsx,pages/admin/EditAgent.tsx
prechat_kr_636441b6,PreChat 에이전트,,JSX text content in pages/admin/AdminDashboard.tsx,pages/admin/AdminDashboard.tsx; pages/admin/AgentsDashboard.tsx
prechat_kr_f41e9a69_kr_5d6a57a5_kr_277e7_4991e785,PreChat 에게 고민을 말씀해 보세요.,,JSX text content in pages/customer/CustomerChat.tsx,pages/customer/CustomerChat.tsx
prechatkr_f215119c_kr_155863bf_kr_660d30_89992d99,✨ PreChat에 오신 것을 환영합니다!,,JSX text content in components/Layout.tsx,components/Layout.tsx
prepare,/prepare,,Template literal span in services/api.ts,services/api.ts
prepared,Prepared,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AgentsDashboard.tsx
preparing,Preparing,,JSX text content in components/StatusBadge.tsx,components/StatusBadge.tsx; pages/admin/AgentsDashboard.tsx
privacy,Privacy,,JSX text content in components/Layout.tsx,components/Layout.tsx
privacyconsent,PrivacyConsent_,,Template literal head in utils/sessionStorage.ts,utils/sessionStorage.ts
purposes,/purposes,,Template literal span in services/api.ts,services/api.ts
reanalyze,/reanalyze,,Template literal span in services/api.ts,services/api.ts
report,/report,,Template literal span in services/api.ts,services/api.ts
sales_rep,Sales Rep,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
sales_representative_access,Sales Representative Access,,JSX text content in pages/auth/Login.tsx,pages/auth/Login.tsx
sales_representative_email,Sales Representative Email,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
select_a_foundation_model,Select a foundation model,,JSX attribute: placeholder in pages/admin/CreateAgent.tsx,pages/admin/CreateAgent.tsx; pages/admin/EditAgent.tsx
select_agent,Select Agent,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
select_an_agent,Select an agent,,JSX attribute: placeholder in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
session_created_successfully_url,Session created successfully! URL:,,Template literal head in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
session_url_csv,_session_url.csv,,Template literal span in utils/csvExport.ts,utils/csvExport.ts
sign_in,Sign In,,String literal in pages/auth/Login.tsx,pages/auth/Login.tsx
sign_up,Sign Up,,String literal in pages/auth/Login.tsx,pages/auth/Login.tsx
stage,"•
                              Stage:",,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
status,Status,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
storage_days,Storage Days,,JSX text content in pages/admin/AgentsDashboard.tsx,pages/admin/AgentsDashboard.tsx
support,Support,,JSX text content in components/Layout.tsx,components/Layout.tsx
terms,Terms,,JSX text content in components/Layout.tsx,components/Layout.tsx
text_1234567890,+1234567890,,JSX attribute: placeholder in pages/auth/Login.tsx,pages/auth/Login.tsx
text_19e75790fe7e,"**
📧",,Template literal span in hooks/useChat.ts,hooks/useChat.ts
text_2px_dashed,2px dashed,,Template literal head in components/FileUpload.tsx,components/FileUpload.tsx
text_5_0,/5.0,,JSX text content in pages/admin/AdminSessionDetails.tsx,pages/admin/AdminSessionDetails.tsx
text_6kr_576af020_kr_820fca4d_kr_7bb79cfd,6자리 숫자 입력,,JSX attribute: placeholder in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx; pages/customer/CustomerChat.tsx
text_6kr_576af020_pin_kr_5ca2f73d,6자리 PIN 번호,,JSX attribute: label in pages/admin/CreateSession.tsx,pages/admin/CreateSession.tsx
this_agent_is_currently_prepared_and_dep_99fb5f05,This agent is currently prepared and deployed. Updating it will require re-preparing the agent after changes are saved.,,JSX text content in pages/admin/EditAgent.tsx,pages/admin/EditAgent.tsx
this_work_is_licensed_under_the,This work is licensed under the,,JSX text content in components/Layout.tsx,components/Layout.tsx
